Date,open,high,low,close,vwap,Date
2021-01-11 07:15:00-05:00,193.03,193.03,193.03,193.03,193.0442,2021-01-11 07:15:00-05:00
2021-01-11 07:20:00-05:00,193.0,193.0,193.0,193.0,193.0028,2021-01-11 07:20:00-05:00
2021-01-11 07:50:00-05:00,193.0,193.0,192.98,192.98,192.9913,2021-01-11 07:50:00-05:00
2021-01-11 07:55:00-05:00,193.0,193.0,193.0,193.0,193.0,2021-01-11 07:55:00-05:00
2021-01-11 08:00:00-05:00,193.0,193.0,193.0,193.0,192.909,2021-01-11 08:00:00-05:00
2021-01-11 08:35:00-05:00,193.0,193.0,193.0,193.0,192.9993,2021-01-11 08:35:00-05:00
2021-01-11 08:45:00-05:00,193.25,193.25,193.25,193.25,193.25,2021-01-11 08:45:00-05:00
2021-01-11 09:00:00-05:00,192.0,192.0,192.0,192.0,192.0823,2021-01-11 09:00:00-05:00
2021-01-11 09:25:00-05:00,191.59,191.59,191.59,191.59,191.6144,2021-01-11 09:25:00-05:00
2021-01-11 09:30:00-05:00,191.56,193.04,190.31,192.88,191.5158,2021-01-11 09:30:00-05:00
2021-01-11 09:35:00-05:00,192.93,193.32,192.16,193.2668,192.6408,2021-01-11 09:35:00-05:00
2021-01-11 09:40:00-05:00,193.16,194.12,192.92,194.12,193.5711,2021-01-11 09:40:00-05:00
2021-01-11 09:45:00-05:00,194.13,194.17,193.7198,193.8459,193.9498,2021-01-11 09:45:00-05:00
2021-01-11 09:50:00-05:00,193.87,194.48,193.87,194.303,194.2108,2021-01-11 09:50:00-05:00
2021-01-11 09:55:00-05:00,194.37,194.66,194.14,194.57,194.3986,2021-01-11 09:55:00-05:00
2021-01-11 10:00:00-05:00,194.38,194.98,194.225,194.67,194.6418,2021-01-11 10:00:00-05:00
2021-01-11 10:05:00-05:00,194.64,194.7,194.21,194.47,194.4396,2021-01-11 10:05:00-05:00
2021-01-11 10:10:00-05:00,194.33,194.445,194.07,194.22,194.1649,2021-01-11 10:10:00-05:00
2021-01-11 10:15:00-05:00,194.07,194.24,193.95,194.035,194.0805,2021-01-11 10:15:00-05:00
2021-01-11 10:20:00-05:00,194.0256,194.21,193.9801,194.1,194.051,2021-01-11 10:20:00-05:00
2021-01-11 10:25:00-05:00,194.108,194.57,194.03,194.55,194.2694,2021-01-11 10:25:00-05:00
2021-01-11 10:30:00-05:00,194.54,194.98,194.48,194.85,194.7419,2021-01-11 10:30:00-05:00
2021-01-11 10:35:00-05:00,194.835,195.21,194.835,195.16,194.9921,2021-01-11 10:35:00-05:00
2021-01-11 10:40:00-05:00,195.175,195.24,194.83,194.88,195.0033,2021-01-11 10:40:00-05:00
2021-01-11 10:45:00-05:00,194.86,194.98,194.36,194.36,194.7414,2021-01-11 10:45:00-05:00
2021-01-11 10:50:00-05:00,194.31,194.5402,194.14,194.235,194.2809,2021-01-11 10:50:00-05:00
2021-01-11 10:55:00-05:00,194.29,194.73,194.1501,194.73,194.3054,2021-01-11 10:55:00-05:00
2021-01-11 11:00:00-05:00,194.6862,194.86,194.62,194.7031,194.7409,2021-01-11 11:00:00-05:00
